Title_Name,Title_URL,Script_URL
Gone in 60 Seconds,https://www.imsdb.com/Movie%20Scripts/Gone%20in%2060%20Seconds%20Script.html,https://www.imsdb.com/scripts/Gone-in-60-Seconds.html
Guardians of the Galaxy Vol 2,https://www.imsdb.com/Movie%20Scripts/Guardians%20of%20the%20Galaxy%20Vol%202%20Script.html,https://www.imsdb.com/scripts/Guardians-of-the-Galaxy-Vol-2.html
Hackers,https://www.imsdb.com/Movie%20Scripts/Hackers%20Script.html,https://www.imsdb.com/scripts/Hackers.html
Hancock,https://www.imsdb.com/Movie%20Scripts/Hancock%20Script.html,https://www.imsdb.com/scripts/Hancock.html
Hanna,https://www.imsdb.com/Movie%20Scripts/Hanna%20Script.html,https://www.imsdb.com/scripts/Hanna.html
Hard Rain,https://www.imsdb.com/Movie%20Scripts/Hard%20Rain%20Script.html,https://www.imsdb.com/scripts/Hard-Rain.html
Hard to Kill,https://www.imsdb.com/Movie%20Scripts/Hard%20to%20Kill%20Script.html,https://www.imsdb.com/scripts/Hard-to-Kill.html
Harry Potter and the Half-Blood Prince,https://www.imsdb.com/Movie%20Scripts/Harry%20Potter%20and%20the%20Half-Blood%20Prince%20Script.html,Not accessible
Heat,https://www.imsdb.com/Movie%20Scripts/Heat%20Script.html,https://www.imsdb.com/scripts/Heat.html
Heavy Metal,https://www.imsdb.com/Movie%20Scripts/Heavy%20Metal%20Script.html,https://www.imsdb.com/scripts/Heavy-Metal.html
Hellboy,https://www.imsdb.com/Movie%20Scripts/Hellboy%20Script.html,https://www.imsdb.com/scripts/Hellboy.html
Hellboy 2: The Golden Army,https://www.imsdb.com/Movie%20Scripts/Hellboy%202:%20The%20Golden%20Army%20Script.html,https://www.imsdb.com/scripts/Hellboy-2-The-Golden-Army.html
Highlander,https://www.imsdb.com/Movie%20Scripts/Highlander%20Script.html,https://www.imsdb.com/scripts/Highlander.html
Highlander: Endgame,https://www.imsdb.com/Movie%20Scripts/Highlander:%20Endgame%20Script.html,https://www.imsdb.com/scripts/Highlander-Endgame.html
Hostage,https://www.imsdb.com/Movie%20Scripts/Hostage%20Script.html,https://www.imsdb.com/scripts/Hostage.html
How to Train Your Dragon 2,https://www.imsdb.com/Movie%20Scripts/How%20to%20Train%20Your%20Dragon%202%20Script.html,https://www.imsdb.com/scripts/How-to-Train-Your-Dragon-2.html
Hudson Hawk,https://www.imsdb.com/Movie%20Scripts/Hudson%20Hawk%20Script.html,https://www.imsdb.com/scripts/Hudson-Hawk.html
"Hunt for Red October, The","https://www.imsdb.com/Movie%20Scripts/Hunt%20for%20Red%20October,%20The%20Script.html","https://www.imsdb.com/scripts/Hunt-for-Red-October,-The.html"
I Am Number Four,https://www.imsdb.com/Movie%20Scripts/I%20Am%20Number%20Four%20Script.html,https://www.imsdb.com/scripts/I-Am-Number-Four.html
"I, Robot","https://www.imsdb.com/Movie%20Scripts/I,%20Robot%20Script.html","https://www.imsdb.com/scripts/I,-Robot.html"
Inception,https://www.imsdb.com/Movie%20Scripts/Inception%20Script.html,https://www.imsdb.com/scripts/Inception.html
"Incredibles, The","https://www.imsdb.com/Movie%20Scripts/Incredibles,%20The%20Script.html","https://www.imsdb.com/scripts/Incredibles,-The.html"
Independence Day,https://www.imsdb.com/Movie%20Scripts/Independence%20Day%20Script.html,https://www.imsdb.com/scripts/Independence-Day.html
Indiana Jones and the Last Crusade,https://www.imsdb.com/Movie%20Scripts/Indiana%20Jones%20and%20the%20Last%20Crusade%20Script.html,https://www.imsdb.com/scripts/Indiana-Jones-and-the-Last-Crusade.html
Indiana Jones and the Raiders of the Lost Ark,https://www.imsdb.com/Movie%20Scripts/Indiana%20Jones%20and%20the%20Raiders%20of%20the%20Lost%20Ark%20Script.html,https://www.imsdb.com/scripts/Indiana-Jones-and-the-Raiders-of-the-Lost-Ark.html
Indiana Jones and the Temple of Doom,https://www.imsdb.com/Movie%20Scripts/Indiana%20Jones%20and%20the%20Temple%20of%20Doom%20Script.html,https://www.imsdb.com/scripts/Indiana-Jones-and-the-Temple-of-Doom.html
Indiana Jones IV,https://www.imsdb.com/Movie%20Scripts/Indiana%20Jones%20IV%20Script.html,https://www.imsdb.com/scripts/Indiana-Jones-IV.html
Inglourious Basterds,https://www.imsdb.com/Movie%20Scripts/Inglourious%20Basterds%20Script.html,https://www.imsdb.com/scripts/Inglourious-Basterds.html
Innerspace,https://www.imsdb.com/Movie%20Scripts/Innerspace%20Script.html,Not accessible
"Island, The","https://www.imsdb.com/Movie%20Scripts/Island,%20The%20Script.html","https://www.imsdb.com/scripts/Island,-The.html"
"Italian Job, The","https://www.imsdb.com/Movie%20Scripts/Italian%20Job,%20The%20Script.html","https://www.imsdb.com/scripts/Italian-Job,-The.html"
Jade,https://www.imsdb.com/Movie%20Scripts/Jade%20Script.html,https://www.imsdb.com/scripts/Jade.pdf
Jason X,https://www.imsdb.com/Movie%20Scripts/Jason%20X%20Script.html,https://www.imsdb.com/scripts/Jason-X.html
Jimmy and Judy,https://www.imsdb.com/Movie%20Scripts/Jimmy%20and%20Judy%20Script.html,https://www.imsdb.com/scripts/Jimmy-and-Judy.html
John Wick,https://www.imsdb.com/Movie%20Scripts/John%20Wick%20Script.html,https://www.imsdb.com/scripts/John-Wick.html
Judge Dredd,https://www.imsdb.com/Movie%20Scripts/Judge%20Dredd%20Script.html,https://www.imsdb.com/scripts/Judge-Dredd.html
Jurassic Park,https://www.imsdb.com/Movie%20Scripts/Jurassic%20Park%20Script.html,https://www.imsdb.com/scripts/Jurassic-Park.html
Jurassic Park III,https://www.imsdb.com/Movie%20Scripts/Jurassic%20Park%20III%20Script.html,https://www.imsdb.com/scripts/Jurassic-Park-III.html
Jurassic Park: The Lost World,https://www.imsdb.com/Movie%20Scripts/Jurassic%20Park:%20The%20Lost%20World%20Script.html,https://www.imsdb.com/scripts/Jurassic-Park-The-Lost-World.html
Kill Bill Volume 1 & 2,https://www.imsdb.com/Movie%20Scripts/Kill%20Bill%20Volume%201%20&%202%20Script.html,https://www.imsdb.com/scripts/Kill-Bill-Volume-1-&-2.html
King Kong,https://www.imsdb.com/Movie%20Scripts/King%20Kong%20Script.html,https://www.imsdb.com/scripts/King-Kong.html
"Kingdom, The","https://www.imsdb.com/Movie%20Scripts/Kingdom,%20The%20Script.html","https://www.imsdb.com/scripts/Kingdom,-The.html"
